09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2030) S_BROM_EXTERNAL_DRAM_DETECTION_FAIL                (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2031) S_BROM_GET_FW_VER_FAIL                             (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2032) S_BROM_CONNECT_TO_BOOTLOADER_FAIL                  (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2033) S_BROM_CMD_SEND_DA_FAIL                            (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2034) S_BROM_CMD_SEND_DA_CHKSUM_DIFF                     (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2035) S_BROM_CMD_JUMP_DA_FAIL                            (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (2036) S_BROM_CMD_JUMP_BL_FAIL                            (brom.cpp:702)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3000) S_DA_INT_RAM_ERROR                                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3001) S_DA_EXT_RAM_ERROR                                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3002) S_DA_SETUP_DRAM_FAIL                               (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3003) S_DA_SETUP_PLL_ERR                                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3004) S_DA_DRAM_NOT_SUPPORT                              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3005) S_DA_RAM_FLOARTING                                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3006) S_DA_RAM_UNACCESSABLE                              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3007) S_DA_RAM_ERROR                                     (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3008) S_DA_DEVICE_NOT_FOUND                              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3009) S_DA_NOR_UNSUPPORTED_DEV_ID                        (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3010) S_DA_NAND_UNSUPPORTED_DEV_ID                       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3011) S_DA_NOR_FLASH_NOT_FOUND                           (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3012) S_DA_NAND_FLASH_NOT_FOUND                          (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3013) S_DA_SOC_CHECK_FAIL                                (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3014) S_DA_NOR_PROGRAM_FAILED                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3015) S_DA_NOR_ERASE_FAILED                              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3016) S_DA_NAND_PAGE_PROGRAM_FAILED                      (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3017) S_DA_NAND_SPARE_PROGRAM_FAILED                     (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3018) S_DA_NAND_HW_COPYBACK_FAILED                       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3019) S_DA_NAND_ERASE_FAILED                             (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3020) S_DA_TIMEOUT                                       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3021) S_DA_IN_PROGRESS                                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3022) S_DA_SUPERAND_ONLY_SUPPORT_PAGE_READ               (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3023) S_DA_SUPERAND_PAGE_PRGRAM_NOT_SUPPORT              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3024) S_DA_SUPERAND_SPARE_PRGRAM_NOT_SUPPORT             (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3025) S_DA_SUPERAND_COPYBACK_NOT_SUPPORT                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3026) S_DA_NOR_CMD_SEQUENCE_ERR                          (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3027) S_DA_NOR_BLOCK_IS_LOCKED                           (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3028) S_DA_NAND_BLOCK_IS_LOCKED                          (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3029) S_DA_NAND_BLOCK_DATA_UNSTABLE                      (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3030) S_DA_NOR_BLOCK_DATA_UNSTABLE                       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3031) S_DA_NOR_VPP_RANGE_ERR                             (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3032) S_DA_INVALID_BEGIN_ADDR                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3033) S_DA_NOR_INVALID_ERASE_BEGIN_ADDR                  (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3034) S_DA_NOR_INVALID_READ_BEGIN_ADDR                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3035) S_DA_NOR_INVALID_PROGRAM_BEGIN_ADDR                (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3036) S_DA_INVALID_RANGE                                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3037) S_DA_NOR_PROGRAM_AT_ODD_ADDR                       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3038) S_DA_NOR_PROGRAM_WITH_ODD_LENGTH                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3039) S_DA_NOR_BUFPGM_NO_SUPPORT                         (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3040) S_DA_NAND_UNKNOWN_ERR                              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3041) S_DA_NAND_BAD_BLOCK                                (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3042) S_DA_NAND_ECC_1BIT_CORRECT                         (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3043) S_DA_NAND_ECC_2BITS_ERR                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3044) S_DA_NAND_SPARE_CHKSUM_ERR                         (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3045) S_DA_NAND_HW_COPYBACK_DATA_INCONSISTENT            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3046) S_DA_NAND_INVALID_PAGE_INDEX                       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3047) S_DA_NFI_NOT_SUPPORT                               (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3048) S_DA_NFI_CS1_NOT_SUPPORT                           (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3049) S_DA_NFI_16BITS_IO_NOT_SUPPORT                     (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3050) S_DA_NFB_BOOTLOADER_NOT_EXIST                      (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3051) S_DA_NAND_NO_GOOD_BLOCK                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3052) S_DA_BOOTLOADER_IS_TOO_LARGE                       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3053) S_DA_SIBLEY_REWRITE_OBJ_MODE_REGION                (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3054) S_DA_SIBLEY_WRITE_B_HALF_IN_CTRL_MODE_REGION       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3055) S_DA_SIBLEY_ILLEGAL_CMD                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3056) S_DA_SIBLEY_PROGRAM_AT_THE_SAME_REGIONS            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3057) S_DA_UART_GET_DATA_TIMEOUT                         (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3058) S_DA_UART_GET_CHKSUM_LSB_TIMEOUT                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3059) S_DA_UART_GET_CHKSUM_MSB_TIMEOUT                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3060) S_DA_UART_DATA_CKSUM_ERROR                         (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3061) S_DA_UART_RX_BUF_FULL                              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3062) S_DA_FLASH_RECOVERY_BUF_NOT_ENOUGH                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3063) S_DA_HANDSET_SEC_INFO_NOT_FOUND                    (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3064) S_DA_HANDSET_SEC_INFO_MAC_VERIFY_FAIL              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3065) S_DA_HANDSET_ROM_INFO_NOT_FOUND                    (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3066) S_DA_HANDSET_FAT_INFO_NOT_FOUND                    (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3067) S_DA_OPERATION_UNSUPPORT_FOR_NFB                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3068) S_DA_BYPASS_POST_PROCESS                           (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3069) S_DA_NOR_OTP_NOT_SUPPORT                           (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3070) S_DA_NOR_OTP_EXIST                                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3071) S_DA_NOR_OTP_LOCKED                                (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3072) S_DA_NOR_OTP_GETSIZE_FAIL                          (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3073) S_DA_NOR_OTP_READ_FAIL                             (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3074) S_DA_NOR_OTP_PROGRAM_FAIL                          (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3075) S_DA_NOR_OTP_LOCK_FAIL                             (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3076) S_DA_NOR_OTP_LOCK_CHECK_STATUS_FAIL                (brom.cpp:705)
